Site name,Site #,U_depth,L_depth,mid_point,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
RC99 S4,M0020,0.28,0.3,0.29,0.2,0.26,0.26,0.2,41.35,,1.55,20.68,,,0.042,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.3,0.32,0.31,0.21,0.27,0.27,0.21,40.77,,1.55,20.38,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.32,0.34,0.33,0.2,0.28,0.28,0.2,39.61,,1.55,19.81,,,0.04,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.34,0.36,0.35,0.21,0.28,0.28,0.21,38.94,,1.55,19.47,,,0.042,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.36,0.38,0.37,0.22,0.28,0.28,0.22,39.2,,1.55,19.6,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.38,0.4,0.39,0.22,0.26,0.26,0.22,41.8,,1.55,20.9,,,0.045,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.4,0.42,0.41,0.22,0.28,0.28,0.22,39.3,,,19.65,,,0.043,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.42,0.44,0.43,0.2,0.3,0.29,0.2,37.02,,,18.51,,,0.038,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.44,0.46,0.45,0.2,0.31,0.31,0.2,35.06,,,17.53,,,0.034,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.46,0.48,0.47,0.2,0.34,0.34,0.2,32.33,,,16.16,,,0.032,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.48,0.5,0.49,0.21,0.33,0.33,0.21,33.27,,,16.64,,,0.035,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.5,0.52,0.51,0.18,0.33,0.33,0.18,33.52,,,16.76,,,0.031,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.52,0.54,0.53,0.22,0.32,0.32,0.22,34.23,,,17.11,,,0.037,N,1997,,,,,,,,,,,,,,,,
