,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
DCD11 B1 Core 5,M1439,1,3,2.000,,,0.42,0.48,0.50,0.42,,9.70,,9.70,,,0.040,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 6,M1440,0,0.15,0.075,,,0.34,0.49,0.51,0.34,,9.44,,9.44,,,0.032,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 6,M1440,0.15,0.3,0.225,,,0.41,0.50,0.52,0.41,,9.04,,9.04,,,0.037,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 6,M1440,0.3,0.5,0.400,,,0.27,0.51,0.53,0.53,,8.77,,8.77,,,0.046,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 6,M1440,0.5,1,0.750,,,0.28,0.46,0.47,0.28,,10.60,,10.60,,,0.029,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 6,M1440,1,3,2.000,,,0.41,0.55,0.57,0.41,,7.70,,7.70,,,0.032,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 1,M1501,0,0.15,0.075,,,0.37,0.57,0.59,0.37,,7.27,,7.27,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 1,M1501,0.15,0.3,0.225,,,0.38,0.56,0.58,0.38,,7.35,,7.35,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 1,M1501,0.3,0.5,0.400,,,0.38,0.56,0.58,0.38,,7.35,,7.35,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 1,M1501,0.5,1,0.750,,,0.38,0.57,0.59,0.38,,7.19,,7.19,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 1,M1501,1,3,2.000,,,0.49,0.65,0.66,0.49,,5.51,,5.51,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 2,M1502,0,0.15,0.075,,,0.33,0.57,0.59,0.59,,7.10,,7.10,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 2,M1502,0.15,0.3,0.225,,,0.36,0.59,0.61,0.36,,6.63,,6.63,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 2,M1502,0.3,0.5,0.400,,,0.31,0.60,0.62,0.62,,6.47,,6.47,,,0.040,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 2,M1502,0.5,1,0.750,,,0.35,0.57,0.59,0.35,,7.21,,7.21,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 2,M1502,1,3,2.000,,,0.52,0.63,0.65,0.52,,5.83,,5.83,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 3,M1503,0,0.15,0.075,,,0.31,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 3,M1503,0.15,0.3,0.225,,,0.31,0.57,0.59,0.59,,7.10,,7.10,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 3,M1503,0.3,0.5,0.400,,,0.29,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 3,M1503,0.5,1,0.750,,,0.31,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 3,M1503,1,3,2.000,,,0.44,0.56,0.58,0.44,,7.35,,7.35,,,0.032,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 4,M1504,0,0.15,0.075,,,0.22,0.59,0.60,0.60,,6.79,,6.79,,,0.041,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 4,M1504,0.15,0.3,0.225,,,0.27,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 4,M1504,0.3,0.5,0.400,,,0.25,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 4,M1504,0.5,1,0.750,,,0.28,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 4,M1504,1,3,2.000,,,0.41,0.57,0.59,0.41,,7.19,,7.19,,,0.030,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 5,M1505,0,0.15,0.075,,,0.26,0.57,0.59,0.59,,7.10,,7.10,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 5,M1505,0.15,0.3,0.225,,,0.25,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 5,M1505,0.3,0.5,0.400,,,0.25,0.58,0.59,0.59,,7.03,,7.03,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 5,M1505,0.5,1,0.750,,,0.24,0.55,0.57,0.57,,7.60,,7.60,,,0.044,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 5,M1505,1,3,2.000,,,0.47,0.58,0.59,0.47,,7.03,,7.03,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 6,M1506,0,0.15,0.075,,,0.26,0.57,0.59,0.59,,7.10,,7.10,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 6,M1506,0.15,0.3,0.225,,,0.27,0.57,0.59,0.59,,7.19,,7.19,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 6,M1506,0.3,0.5,0.400,,,0.28,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 6,M1506,0.5,1,0.750,,,0.29,0.56,0.58,0.58,,7.35,,7.35,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B5 Core 6,M1506,1,3,2.000,,,0.36,0.57,0.59,0.36,,7.27,,7.27,,,0.026,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 1,M1489,0,0.15,0.075,,,0.39,0.47,0.48,0.39,,10.24,,10.24,,,0.040,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 1,M1489,0.15,0.3,0.225,,,0.48,0.47,0.48,0.48,,10.37,,10.37,,,0.050,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 1,M1489,0.3,0.5,0.400,,,0.46,0.48,0.50,0.46,,9.70,,9.70,,,0.044,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 1,M1489,0.5,1,0.750,,,0.23,0.47,0.49,0.49,,10.10,,10.10,,,0.049,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 1,M1489,1,3,2.000,,,0.37,0.68,0.69,0.69,,4.92,,4.92,,,0.034,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 2,M1490,0,0.15,0.075,,,0.38,0.48,0.50,0.38,,9.70,,9.70,,,0.037,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 2,M1490,0.15,0.3,0.225,,,0.44,0.47,0.48,0.44,,10.37,,10.37,,,0.046,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 2,M1490,0.3,0.5,0.400,,,0.35,0.47,0.48,0.35,,10.24,,10.24,,,0.036,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 2,M1490,0.5,1,0.750,,,0.50,0.49,0.51,0.50,,9.44,,9.44,,,0.047,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 2,M1490,1,3,2.000,,,0.68,0.66,0.68,0.68,,5.18,,5.18,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 3,M1491,0,0.15,0.075,,,0.27,0.43,0.44,0.27,,11.57,,11.57,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 3,M1491,0.15,0.3,0.225,,,0.27,0.42,0.43,0.27,,12.23,,12.23,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 3,M1491,0.3,0.5,0.400,,,0.24,0.46,0.47,0.24,,10.50,,10.50,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 3,M1491,0.5,1,0.750,,,0.26,0.45,0.46,0.26,,11.04,,11.04,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 3,M1491,1,3,2.000,,,0.54,0.50,0.51,0.54,,9.31,,9.31,,,0.050,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 4,M1492,0,0.15,0.075,,,0.22,0.43,0.44,0.22,,11.57,,11.57,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 4,M1492,0.15,0.3,0.225,,,0.28,0.46,0.47,0.28,,10.50,,10.50,,,0.030,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 4,M1492,0.3,0.5,0.400,,,0.33,0.42,0.43,0.33,,12.23,,12.23,,,0.040,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 4,M1492,0.5,1,0.750,,,0.34,0.29,0.29,0.34,,18.64,,18.64,,,0.063,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 4,M1492,1,3,2.000,,,0.48,0.49,0.51,0.48,,9.44,,9.44,,,0.045,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 5,M1493,0,0.15,0.075,,,0.28,0.53,0.55,0.55,,8.24,,8.24,,,0.045,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 5,M1493,0.15,0.3,0.225,,,0.26,0.45,0.46,0.26,,10.90,,10.90,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 5,M1493,0.3,0.5,0.400,,,0.28,0.46,0.47,0.28,,10.50,,10.50,,,0.030,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 5,M1493,0.5,1,0.750,,,0.20,0.46,0.47,0.47,,10.64,,10.64,,,0.050,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 5,M1493,1,3,2.000,,,0.40,0.52,0.54,0.40,,8.51,,8.51,,,0.034,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 6,M1494,0,0.15,0.075,,,0.20,0.43,0.44,0.20,,11.70,,11.70,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 6,M1494,0.15,0.3,0.225,,,0.19,0.50,0.51,0.51,,9.31,,9.31,,,0.048,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 6,M1494,0.3,0.5,0.400,,,0.19,0.45,0.46,0.46,,10.90,,10.90,,,0.050,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 6,M1494,0.5,1,0.750,,,0.22,0.46,0.47,0.22,,10.64,,10.64,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 B3 Core 6,M1494,1,3,2.000,,,0.44,0.57,0.58,0.44,,7.31,,7.31,,,0.032,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 1,M1483,0,0.15,0.075,,,0.27,0.40,0.41,0.27,,13.03,,13.03,,,0.036,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 1,M1483,0.15,0.3,0.225,,,0.24,0.41,0.42,0.24,,12.63,,12.63,,,0.030,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 1,M1483,0.3,0.5,0.400,,,0.25,0.40,0.41,0.25,,12.76,,12.76,,,0.032,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 1,M1483,0.5,1,0.750,,,0.28,0.41,0.42,0.28,,12.63,,12.63,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 1,M1483,1,3,2.000,,,0.36,0.43,0.44,0.36,,11.70,,11.70,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 2,M1484,0,0.15,0.075,,,0.26,0.42,0.43,0.26,,11.97,,11.97,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 2,M1484,0.15,0.3,0.225,,,0.26,0.41,0.42,0.26,,12.37,,12.37,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 2,M1484,0.3,0.5,0.400,,,0.28,0.41,0.42,0.28,,12.50,,12.50,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 2,M1484,0.5,1,0.750,,,0.25,0.43,0.44,0.25,,11.70,,11.70,,,0.029,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 2,M1484,1,3,2.000,,,0.46,0.44,0.45,0.46,,11.17,,11.17,,,0.051,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 3,M1485,0,0.15,0.075,,,0.19,0.42,0.43,0.19,,12.10,,12.10,,,0.023,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 3,M1485,0.15,0.3,0.225,,,0.21,0.43,0.44,0.21,,11.70,,11.70,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 3,M1485,0.3,0.5,0.400,,,0.21,0.43,0.44,0.21,,11.83,,11.83,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 3,M1485,0.5,1,0.750,,,0.28,0.43,0.44,0.28,,11.70,,11.70,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 3,M1485,1,3,2.000,,,0.45,0.44,0.45,0.45,,11.30,,11.30,,,0.051,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 4,M1486,0,0.15,0.075,,,0.19,0.41,0.42,0.19,,12.50,,12.50,,,0.023,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 4,M1486,0.15,0.3,0.225,,,0.20,0.41,0.42,0.20,,12.50,,12.50,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 4,M1486,0.3,0.5,0.400,,,0.18,0.46,0.47,0.47,,10.50,,10.50,,,0.050,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 4,M1486,0.5,1,0.750,,,0.20,0.42,0.43,0.20,,11.97,,11.97,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 4,M1486,1,3,2.000,,,0.38,0.44,0.45,0.38,,11.17,,11.17,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 5,M1487,0,0.15,0.075,,,0.22,0.44,0.45,0.22,,11.17,,11.17,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 5,M1487,0.15,0.3,0.225,,,0.22,0.44,0.45,0.22,,11.43,,11.43,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 5,M1487,0.3,0.5,0.400,,,0.23,0.43,0.44,0.23,,11.83,,11.83,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 5,M1487,0.5,1,0.750,,,0.34,0.41,0.42,0.34,,12.63,,12.63,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 5,M1487,1,3,2.000,,,0.45,0.46,0.47,0.45,,10.64,,10.64,,,0.048,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 6,M1488,0,0.15,0.075,,,0.21,0.43,0.44,0.21,,11.70,,11.70,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 6,M1488,0.15,0.3,0.225,,,0.20,0.47,0.48,0.48,,10.37,,10.37,,,0.050,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 6,M1488,0.3,0.5,0.400,,,0.22,0.40,0.41,0.22,,12.90,,12.90,,,0.029,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 6,M1488,0.5,1,0.750,,,0.20,0.42,0.43,0.20,,12.10,,12.10,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B2 Core 6,M1488,1,3,2.000,,,0.44,0.46,0.47,0.44,,10.64,,10.64,,,0.047,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 1,M1495,0,0.15,0.075,,,0.31,0.42,0.43,0.31,,11.97,,11.97,,,0.038,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 1,M1495,0.15,0.3,0.225,,,0.31,0.46,0.47,0.31,,10.50,,10.50,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 1,M1495,0.3,0.5,0.400,,,0.33,0.43,0.44,0.33,,11.57,,11.57,,,0.038,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 1,M1495,0.5,1,0.750,,,0.40,0.48,0.49,0.40,,9.97,,9.97,,,0.040,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 1,M1495,1,3,2.000,,,0.35,0.46,0.47,0.35,,10.64,,10.64,,,0.037,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 2,M1496,0,0.15,0.075,,,0.23,0.40,0.41,0.23,,12.90,,12.90,,,0.030,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 2,M1496,0.15,0.3,0.225,,,0.33,0.40,0.41,0.33,,13.03,,13.03,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 2,M1496,0.3,0.5,0.400,,,0.35,0.44,0.45,0.35,,11.17,,11.17,,,0.039,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 2,M1496,0.5,1,0.750,,,0.34,0.46,0.47,0.34,,10.64,,10.64,,,0.036,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 2,M1496,1,3,2.000,,,0.45,0.55,0.56,0.45,,7.84,,7.84,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 3,M1497,0,0.15,0.075,,,0.30,0.45,0.46,0.30,,10.90,,10.90,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 3,M1497,0.15,0.3,0.225,,,0.31,0.43,0.44,0.31,,11.83,,11.83,,,0.037,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 3,M1497,0.3,0.5,0.400,,,0.38,0.45,0.46,0.38,,11.03,,11.03,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 3,M1497,0.5,1,0.750,,,0.35,0.46,0.47,0.35,,10.60,,10.60,,,0.037,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 3,M1497,1,3,2.000,,,0.51,0.50,0.52,0.51,,9.04,,9.04,,,0.046,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 4,M1498,0,0.15,0.075,,,0.35,0.46,0.47,0.35,,10.64,,10.64,,,0.037,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 4,M1498,0.15,0.3,0.225,,,0.28,0.55,0.57,0.57,,7.71,,7.71,,,0.044,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 4,M1498,0.3,0.5,0.400,,,0.26,0.43,0.44,0.26,,11.83,,11.83,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 4,M1498,0.5,1,0.750,,,0.24,0.44,0.45,0.24,,11.17,,11.17,,,0.026,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 4,M1498,1,3,2.000,,,0.43,0.50,0.51,0.43,,9.31,,9.31,,,0.040,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 5,M1499,0,0.15,0.075,,,0.34,0.47,0.48,0.34,,10.24,,10.24,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 5,M1499,0.15,0.3,0.225,,,0.29,0.48,0.49,0.29,,9.84,,9.84,,,0.029,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 5,M1499,0.3,0.5,0.400,,,0.29,0.42,0.43,0.29,,11.97,,11.97,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 5,M1499,0.5,1,0.750,,,0.31,0.39,0.39,0.31,,13.56,,13.56,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 5,M1499,1,3,2.000,,,0.46,0.47,0.48,0.46,,10.37,,10.37,,,0.047,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 6,M1500,0,0.15,0.075,,,0.35,0.41,0.42,0.35,,12.50,,12.50,,,0.044,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 6,M1500,0.15,0.3,0.225,,,0.29,0.43,0.44,0.29,,11.57,,11.57,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 6,M1500,0.3,0.5,0.400,,,0.36,0.45,0.46,0.36,,11.04,,11.04,,,0.040,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 6,M1500,0.5,1,0.750,,,0.43,0.41,0.42,0.43,,12.50,,12.50,,,0.054,N,,,,,,,,,,,,,,,,,
DCD11 B4 Core 6,M1500,1,3,2.000,,,0.58,0.48,0.49,0.58,,9.97,,9.97,,,0.058,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 1,M1380,0,0.15,0.075,,,0.52,0.63,0.65,0.52,,5.82,,5.82,,,0.030,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 1,M1380,0.15,0.3,0.225,,,0.52,0.69,0.70,0.52,,4.70,,4.70,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 1,M1380,0.3,0.5,0.400,,,0.56,0.73,0.73,0.56,,4.07,,4.07,,,0.023,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 1,M1380,0.5,1,0.750,,,0.46,0.62,0.64,0.46,,6.05,,6.05,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 1,M1380,1,3,2.000,,,0.47,0.65,0.66,0.47,,5.50,,5.50,,,0.026,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 2,M1381,0,0.15,0.075,,,0.57,0.61,0.63,0.57,,6.14,,6.14,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 2,M1381,0.15,0.3,0.225,,,0.54,0.63,0.64,0.54,,5.90,,5.90,,,0.032,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 2,M1381,0.3,0.5,0.400,,,0.59,0.60,0.62,0.59,,6.38,,6.38,,,0.038,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 2,M1381,0.5,1.23,0.865,,,0.54,0.63,0.65,0.54,,5.74,,5.74,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 3,M1382,0,0.15,0.075,,,0.53,0.58,0.60,0.53,,6.98,,6.98,,,0.037,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 3,M1382,0.15,0.3,0.225,,,0.53,0.60,0.62,0.53,,6.38,,6.38,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 3,M1382,0.3,0.5,0.400,,,0.51,0.58,0.60,0.51,,6.94,,6.94,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 3,M1382,0.5,1.2,0.850,,,0.62,0.67,0.68,0.62,,5.10,,5.10,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 4,M1383,0,0.15,0.075,,,0.56,0.68,0.69,0.56,,4.94,,4.94,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 4,M1383,0.15,0.3,0.225,,,0.53,0.59,0.60,0.53,,6.78,,6.78,,,0.036,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 4,M1383,0.3,0.5,0.400,,,0.52,0.57,0.59,0.52,,7.10,,7.10,,,0.037,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 4,M1383,0.5,1.24,0.870,,,0.76,0.69,0.70,0.76,,4.62,,4.62,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 5,M1384,0,0.15,0.075,,,0.59,0.63,0.65,0.59,,5.82,,5.82,,,0.034,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 5,M1384,0.15,0.3,0.225,,,0.61,0.61,0.62,0.61,,6.30,,6.30,,,0.038,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 5,M1384,0.3,0.5,0.400,,,0.58,0.67,0.68,0.58,,5.02,,5.02,,,0.029,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 5,M1384,0.5,0.82,0.660,,,0.67,0.65,0.67,0.67,,5.34,,5.34,,,0.036,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 6,M1385,0,0.15,0.075,,,0.44,0.58,0.60,0.44,,7.02,,7.02,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 6,M1385,0.15,0.3,0.225,,,0.63,0.73,0.73,0.63,,4.07,,4.07,,,0.026,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 6,M1385,0.3,0.5,0.400,,,0.50,0.65,0.66,0.50,,5.42,,5.42,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 J1 Core 6,M1385,0.5,1,0.750,,,0.42,0.69,0.70,0.70,,4.62,,4.62,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 1,M1386,0,0.15,0.075,,,0.36,0.66,0.68,0.68,,5.18,,5.18,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 1,M1386,0.15,0.3,0.225,,,0.42,0.62,0.64,0.42,,5.98,,5.98,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 1,M1386,0.3,0.5,0.400,,,0.44,0.58,0.60,0.44,,7.02,,7.02,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 1,M1386,0.5,1,0.750,,,0.45,0.59,0.61,0.45,,6.70,,6.70,,,0.030,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 1,M1386,1,3,2.000,,,0.59,0.74,0.74,0.59,,3.91,,3.91,,,0.023,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 2,M1387,0,0.15,0.075,,,0.64,0.75,0.75,0.64,,3.75,,3.75,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 2,M1387,0.15,0.3,0.225,,,0.38,0.66,0.67,0.67,,5.26,,5.26,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 2,M1387,0.3,0.5,0.400,,,0.43,0.58,0.60,0.43,,6.94,,6.94,,,0.030,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 2,M1387,0.5,1,0.750,,,0.38,0.61,0.63,0.38,,6.22,,6.22,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 2,M1387,1,1.86,1.430,,,0.56,0.67,0.68,0.56,,5.10,,5.10,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 3,M1388,0,0.15,0.075,,,0.36,0.74,0.74,0.74,,3.91,,3.91,,,0.029,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 3,M1388,0.15,0.3,0.225,,,0.40,0.66,0.68,0.68,,5.18,,5.18,,,0.035,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 3,M1388,0.3,0.5,0.400,,,0.46,0.72,0.73,0.73,,4.22,,4.22,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 3,M1388,0.5,1,0.750,,,0.45,0.70,0.71,0.71,,4.54,,4.54,,,0.032,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 3,M1388,1,3,2.000,,,0.56,0.68,0.69,0.56,,4.86,,4.86,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 4,M1389,0,0.15,0.075,,,0.44,0.69,0.70,0.70,,4.70,,4.70,,,0.033,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 4,M1389,0.15,0.3,0.225,,,0.38,0.63,0.65,0.65,,5.82,,5.82,,,0.038,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 4,M1389,0.3,0.5,0.400,,,0.49,0.70,0.71,0.49,,4.54,,4.54,,,0.022,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 4,M1389,0.5,1,0.750,,,0.41,0.60,0.62,0.41,,6.46,,6.46,,,0.026,N,,,,,,,,,,,,,,,,,
DCD11 J2 Core 4,M1389,1,3,2.000,,,0.54,0.71,0.72,0.54,,4.39,,4.39,,,0.024,N,,,,,,,,,,,,,,,,,
