TAXNWRB,count,WRB_2006_NAME
Vertic Gleyic Calcic Luvic Chernozem,8,Luvic Chernozems
Vertic Salic Mollic Calcic Solonetz,8,Calcic Solonetz
Albic Podzol,7,Haplic Podzols
Andic Podzols,7,Haplic Podzols
CALCARIC CAMBISOL,7,Haplic Cambisols (Calcaric)
Calcaric Regosols,7,Aric Regosols
Calci-Sodic Solonchaks,7,Haplic Solonchaks (Sodic)
Cambic Umbrisol,7,Haplic Umbrisols
Chromi-Ferric Lixisols,7,Haplic Lixisols (Ferric)
Chromic CAMBISOL,7,Haplic Cambisols (Chromic)
Chromic Paraleptic Cambisol,7,Leptic Cambisols
Endogleyic LUVISOL,7,Gleyic Luvisols
